so_band,res_num_per_chip,freq_hz,resonator_height_um,wiggles,sliders,slider_delta_um,resonator_impedance_ohms,coupling_capacitance_f,coupling_inductance_h,x_pos_mm,y_pos_mm
0.0,34.0,4086585000.0000005,2271.0,23.0,3.0,79.47663923759174,50.0,4.070258929782679e-15,3.959071746996133e-11,-6.875,0.2
0.0,35.0,4088455714.285714,2271.0,23.0,3.0,80.05577749657603,50.0,4.070258929782679e-15,3.959071746996133e-11,-5.875,0.2
0.0,36.0,4090326428.571429,2271.0,23.0,3.0,80.6343860168077,50.0,4.070258929782679e-15,3.959071746996133e-11,-4.875,0.2
0.0,37.0,4092197142.857143,2271.0,23.0,3.0,81.2124655247806,50.0,4.070258929782679e-15,3.959071746996133e-11,-3.875,0.2
0.0,38.0,4094067857.1428566,2271.0,23.0,3.0,81.79001674566418,50.0,4.070258929782679e-15,3.959071746996133e-11,-2.875,0.2
0.0,39.0,4095938571.4285717,2271.0,23.0,3.0,82.36704040330498,50.0,4.070258929782679e-15,3.959071746996133e-11,-1.875,0.2
0.0,40.0,4097809285.7142854,2271.0,23.0,3.0,82.94353722022517,50.0,4.070258929782679e-15,3.959071746996133e-11,-0.875,0.2
0.0,41.0,4099680000.0,2271.0,23.0,3.0,83.51950791762702,50.0,4.070258929782679e-15,3.959071746996133e-11,0.125,0.2
0.0,42.0,4101550714.285714,2271.0,23.0,3.0,84.09495321540213,50.0,4.070258929782679e-15,3.959071746996133e-11,1.125,0.2
0.0,43.0,4103421428.571429,2271.0,23.0,3.0,84.6698738321222,50.0,4.070258929782679e-15,3.959071746996133e-11,2.125,0.2
0.0,44.0,4105292142.857143,2271.0,23.0,3.0,85.24427048505434,50.0,4.070258929782679e-15,3.959071746996133e-11,3.125,0.2
0.0,45.0,4107162857.142857,2271.0,23.0,3.0,85.8181438901549,50.0,4.070258929782679e-15,3.959071746996133e-11,4.125,0.2
0.0,46.0,4109033571.4285717,2271.0,23.0,3.0,86.39149476208472,50.0,4.070258929782679e-15,3.959071746996133e-11,5.125,0.2
0.0,47.0,4110904285.7142854,2271.0,23.0,3.0,86.96432381419392,50.0,4.070258929782679e-15,3.959071746996133e-11,6.125,0.2
0.0,48.0,4112775000.0,2271.0,23.0,3.0,87.53663175854014,50.0,4.070258929782679e-15,3.959071746996133e-11,7.125,0.2
0.0,49.0,4114645714.285714,2271.0,23.0,3.0,88.10841930588246,50.0,4.070258929782679e-15,3.959071746996133e-11,8.125,0.2
0.0,50.0,4118367857.142857,2271.0,23.0,3.0,89.2445546822537,50.0,4.070258929782679e-15,3.959071746996133e-11,-7.375,0.2
0.0,51.0,4120238571.4285717,2271.0,23.0,3.0,89.81479062966713,50.0,4.070258929782679e-15,3.959071746996133e-11,-6.375,0.2
0.0,52.0,4122109285.714286,2271.0,23.0,3.0,90.38450900296554,50.0,4.070258929782679e-15,3.959071746996133e-11,-5.375,0.2
0.0,53.0,4123980000.0000005,2271.0,23.0,3.0,90.95371050649278,50.0,4.070258929782679e-15,3.959071746996133e-11,-4.375,0.2
0.0,54.0,4125850714.285714,2271.0,23.0,3.0,91.52239584331237,50.0,4.070258929782679e-15,3.959071746996133e-11,-3.375,0.2
0.0,55.0,4127721428.5714283,2271.0,23.0,3.0,92.09056571522119,50.0,4.070258929782679e-15,3.959071746996133e-11,-2.375,0.2
0.0,56.0,4129592142.8571424,2271.0,23.0,3.0,92.65822082273583,50.0,4.070258929782679e-15,3.959071746996133e-11,-1.375,0.2
0.0,57.0,4131462857.142857,2271.0,23.0,3.0,93.2253618651108,50.0,4.070258929782679e-15,3.959071746996133e-11,-0.375,0.2
0.0,58.0,4133333571.4285717,2271.0,23.0,3.0,93.79198954032942,50.0,4.070258929782679e-15,3.959071746996133e-11,0.625,0.2
0.0,59.0,4135204285.714286,2271.0,23.0,3.0,94.35810454511449,50.0,4.070258929782679e-15,3.959071746996133e-11,1.625,0.2
0.0,60.0,4137075000.0000005,2271.0,23.0,3.0,94.92370757492822,50.0,4.070258929782679e-15,3.959071746996133e-11,2.625,0.2
0.0,61.0,4138945714.285714,2271.0,23.0,3.0,95.48879932397686,50.0,4.070258929782679e-15,3.959071746996133e-11,3.625,0.2
0.0,62.0,4140816428.5714283,2271.0,23.0,3.0,96.05338048520765,50.0,4.070258929782679e-15,3.959071746996133e-11,4.625,0.2
0.0,63.0,4142687142.8571424,2271.0,23.0,3.0,96.61745175032247,50.0,4.070258929782679e-15,3.959071746996133e-11,5.625,0.2
0.0,64.0,4144557857.142857,2271.0,23.0,3.0,97.18101380977178,50.0,4.070258929782679e-15,3.959071746996133e-11,6.625,0.2
0.0,65.0,4146428571.4285717,2271.0,23.0,3.0,97.74406735275615,50.0,4.070258929782679e-15,3.959071746996133e-11,7.625,0.2
1.0,0.0,4152428571.4285717,2770.0,19.0,3.0,11.407946102409014,50.0,3.9594587631322354e-15,0.0,-8.125,-0.2
1.0,1.0,4154299285.714286,2671.0,19.0,3.0,10.56780113355397,50.0,3.9594587631322354e-15,3.936834977867005e-11,-7.125,-0.2
1.0,2.0,4156170000.0000005,2671.0,19.0,3.0,11.128217753605682,50.0,3.9594587631322354e-15,3.936834977867005e-11,-6.125,-0.2
1.0,3.0,4158040714.285714,2671.0,19.0,3.0,11.688130107608757,50.0,3.9594587631322354e-15,3.936834977867005e-11,-5.125,-0.2
1.0,4.0,4159911428.5714283,2671.0,19.0,3.0,12.247538875874554,50.0,3.9594587631322354e-15,3.936834977867005e-11,-4.125,-0.2
1.0,5.0,4161782142.8571424,2671.0,19.0,3.0,12.806444737479737,50.0,3.9594587631322354e-15,3.936834977867005e-11,-3.125,-0.2
1.0,6.0,4163652857.142857,2671.0,19.0,3.0,13.364848370287561,50.0,3.9594587631322354e-15,3.936834977867005e-11,-2.125,-0.2
1.0,7.0,4165523571.4285717,2671.0,19.0,3.0,13.922750450947873,50.0,3.9594587631322354e-15,3.936834977867005e-11,-1.125,-0.2
1.0,8.0,4167394285.714286,2671.0,19.0,3.0,14.48015165488495,50.0,3.9594587631322354e-15,3.936834977867005e-11,-0.125,-0.2
1.0,9.0,4169265000.0000005,2671.0,19.0,3.0,15.03705265632182,50.0,3.9594587631322354e-15,3.936834977867005e-11,0.875,-0.2
1.0,10.0,4171135714.285714,2671.0,19.0,3.0,15.593454128258983,50.0,3.9594587631322354e-15,3.936834977867005e-11,1.875,-0.2
