Timestamp,Test Time,Log Comments,PS_V,960V,PS_I,RLeads,Pressure,Tset,Snout Coil Set,ADR 50mK,PT 60K,PT 3K,Magnet Diode,Auxiliary,ADR 1K,Magnet RTD,H20 Inlet Temp,H20 Outlet Temp,Helium Temp,Oil Temp,High Side Press,Low Side Press,Current,Runtime (min),921_R,922_1_V,922_2_V,922_3_V,922_4_V,923A1_R,923A2_R
04/30/2021 12:46:57.286,49.097033,,1.475680,0.735268,0.116736,12.725117,0.000000,0.075000,0.000000,0.074443830,56.728000,2.440000,2.835000,310.140000,0.044270,2.000000,10.200000,23.400000,58.900000,25.600000,272.600000,103.800000,10.000000,23712.150000,25329.050000,1.058233,1.696665,1.615920,0.494500,37628.660000,166051.500000
04/30/2021 12:46:58.291,50.093043,,1.463470,0.728833,0.116597,12.641197,0.000000,0.075000,0.000000,0.074338650,56.729000,2.440000,2.835000,310.094000,0.044568,2.000000,10.300000,23.400000,58.900000,25.700000,264.800000,94.000000,10.000000,23712.150000,25411.650000,1.058232,1.696782,1.615926,0.494612,37283.790000,166051.500000
04/30/2021 12:46:59.296,51.097897,,1.506436,0.762565,0.117587,12.551535,0.000000,0.075000,0.000000,0.073966550,56.727000,2.430000,2.835000,310.031000,0.043986,2.000000,10.300000,23.400000,58.900000,25.600000,267.900000,97.800000,10.000000,23712.150000,25606.800000,1.058235,1.696938,1.615935,0.494765,37958.250000,166051.500000
04/30/2021 12:47:01.286,53.092920,,1.537146,0.771371,0.121465,12.819906,0.000000,0.075000,0.000000,0.074213510,56.727000,2.424000,2.834000,309.768000,0.046280,2.000000,10.300000,23.500000,58.800000,25.600000,263.500000,87.800000,10.000000,23712.166667,25462.420000,1.058235,1.697115,1.615949,0.495397,35398.340000,166051.500000
04/30/2021 12:47:02.292,54.092934,,1.589715,0.799608,0.123904,12.655031,0.000000,0.075000,0.000000,0.074180830,56.728000,2.427000,2.834000,309.757000,0.050439,2.000000,10.200000,23.400000,58.900000,25.600000,273.700000,104.200000,10.000000,23712.166667,25509.230000,1.058233,1.696818,1.615955,0.495425,31523.590000,166051.500000
04/30/2021 12:47:04.286,56.093114,,1.580301,0.785004,0.125928,12.611004,0.000000,0.075000,0.000000,0.074549860,56.728000,2.440000,2.834000,309.714000,0.051608,2.000000,10.300000,23.400000,58.900000,25.600000,269.000000,100.300000,9.000000,23712.166667,25309.090000,1.058233,1.696677,1.615970,0.495536,30581.160000,166051.500000
04/30/2021 12:47:05.287,57.092127,,1.567195,0.786457,0.125289,12.549275,0.000000,0.075000,0.000000,0.074616900,56.727000,2.435000,2.834000,309.684000,0.048235,2.000000,10.300000,23.400000,58.800000,25.700000,275.900000,99.000000,10.000000,23712.166667,25336.770000,1.058236,1.696806,1.615976,0.495600,33438.020000,166051.500000
04/30/2021 12:47:06.285,58.092141,,1.586316,0.792155,0.125404,12.508668,0.000000,0.075000,0.000000,0.074523980,56.726000,2.429000,2.833000,309.672000,0.047034,2.000000,10.300000,23.500000,59.000000,25.600000,264.300000,88.000000,9.000000,23712.166667,25336.270000,1.058236,1.697085,1.615982,0.495628,34642.170000,166051.500000
04/30/2021 12:47:07.310,59.092152,,1.613807,0.814635,0.126718,12.649677,0.000000,0.075000,0.000000,0.074392770,56.726000,2.423000,2.833000,309.693000,0.045161,2.000000,10.400000,23.400000,59.000000,25.800000,276.700000,100.700000,10.000000,23712.166667,25428.560000,1.058236,1.697128,1.615991,0.495577,36847.920000,166051.500000
04/30/2021 12:47:09.296,61.094890,,1.670675,0.831631,0.131190,12.732957,0.000000,0.075000,0.000000,0.074264580,56.727000,2.435000,2.833000,309.566000,0.042077,2.000000,10.300000,23.400000,59.000000,25.600000,269.700000,101.700000,10.000000,23712.166667,25534.860000,1.058237,1.696813,1.616002,0.495883,40374.210000,166051.500000
