"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.60424042404E+009, -1.48369827525E-003, -5.01002651647E-002
+4.60426042604E+009, -1.85688910401E-003, -5.00483366063E-002
+4.60428042804E+009, -2.26280464895E-003, -5.00372514157E-002
+4.60430043004E+009, -2.66366085833E-003, -5.00702730696E-002
+4.60432043204E+009, -2.93262767232E-003, -5.00379647888E-002
+4.60434043404E+009, -3.37951429031E-003, -4.99734935802E-002
+4.60436043604E+009, -3.73960573633E-003, -4.99967786775E-002
+4.60438043804E+009, -4.05318847857E-003, -4.99402288889E-002
+4.60440044004E+009, -4.43854156943E-003, -4.98951035426E-002
+4.60442044204E+009, -4.79255737029E-003, -4.98666705049E-002
+4.60444044404E+009, -5.18945263603E-003, -4.97952812549E-002
+4.60446044604E+009, -5.60522029262E-003, -4.97501665069E-002
+4.60448044804E+009, -5.94058025102E-003, -4.97486307806E-002
+4.60450045005E+009, -6.23423078811E-003, -4.96946801722E-002
+4.60452045205E+009, -6.63607236559E-003, -4.96898250855E-002
+4.60454045405E+009, -7.00449543988E-003, -4.96426079432E-002
+4.60456045605E+009, -7.34403633135E-003, -4.95467835907E-002
+4.60458045805E+009, -7.67581237874E-003, -4.94900492802E-002
+4.60460046005E+009, -8.03586843991E-003, -4.94156261742E-002
+4.60462046205E+009, -8.37872472073E-003, -4.94215900547E-002
+4.60464046405E+009, -8.79290828396E-003, -4.93250813652E-002
+4.60466046605E+009, -9.11297450224E-003, -4.92556951522E-002
+4.60468046805E+009, -9.40784071041E-003, -4.91590662855E-002
+4.60470047005E+009, -9.81955534708E-003, -4.90764030955E-002
+4.60472047205E+009, -1.01404691461E-002, -4.90382479059E-002
+4.60474047405E+009, -1.05106790172E-002, -4.89722876478E-002
+4.60476047605E+009, -1.08288490344E-002, -4.88859137544E-002
+4.60478047805E+009, -1.12621431185E-002, -4.88416006419E-002
+4.60480048005E+009, -1.16035045025E-002, -4.87023140119E-002
+4.60482048205E+009, -1.18953030960E-002, -4.86879008878E-002
+4.60484048405E+009, -1.22644676490E-002, -4.85820048137E-002
+4.60486048605E+009, -1.26597293161E-002, -4.85046535823E-002
+4.60488048805E+009, -1.28740836062E-002, -4.83583505800E-002
+4.60490049005E+009, -1.33595631860E-002, -4.83141107270E-002
+4.60492049205E+009, -1.36318899100E-002, -4.81663820671E-002
+4.60494049405E+009, -1.40517442686E-002, -4.81360331993E-002
+4.60496049605E+009, -1.42778098381E-002, -4.80388792135E-002
+4.60498049805E+009, -1.47404339855E-002, -4.78443295335E-002
+4.60500050005E+009, -1.50505980435E-002, -4.77347027122E-002
+4.60502050205E+009, -1.54474552263E-002, -4.76887877256E-002
+4.60504050405E+009, -1.57063958128E-002, -4.76212106717E-002
+4.60506050605E+009, -1.61241345503E-002, -4.74254119485E-002
+4.60508050805E+009, -1.64214779374E-002, -4.72723568172E-002
+4.60510051005E+009, -1.68044899812E-002, -4.71753558499E-002
+4.60512051205E+009, -1.71755955504E-002, -4.70589976051E-002
+4.60514051405E+009, -1.75404338877E-002, -4.69400110122E-002
+4.60516051605E+009, -1.77519574391E-002, -4.68306871452E-002
+4.60518051805E+009, -1.81752194387E-002, -4.67302051465E-002
+4.60520052005E+009, -1.84059293183E-002, -4.66358453325E-002
+4.60522052205E+009, -1.88596297627E-002, -4.64410011429E-002
+4.60524052405E+009, -1.91620207579E-002, -4.64376500384E-002
+4.60526052605E+009, -1.95429081679E-002, -4.62098043213E-002
+4.60528052805E+009, -1.98585140088E-002, -4.60359006409E-002
+4.60530053005E+009, -2.01534020466E-002, -4.58596905619E-002
+4.60532053205E+009, -2.05199728850E-002, -4.57557881963E-002
+4.60534053405E+009, -2.08429391547E-002, -4.55718560727E-002
+4.60536053605E+009, -2.11915982155E-002, -4.54472366276E-002
+4.60538053805E+009, -2.15243210337E-002, -4.53276045092E-002
+4.60540054005E+009, -2.17997906439E-002, -4.51350671532E-002
+4.60542054205E+009, -2.20832898479E-002, -4.49864752105E-002
+4.60544054405E+009, -2.24285413334E-002, -4.48162878186E-002
+4.60546054605E+009, -2.27619462025E-002, -4.46710892544E-002
+4.60548054805E+009, -2.31132218436E-002, -4.45275435605E-002
+4.60550055006E+009, -2.33675196056E-002, -4.43341889072E-002
+4.60552055206E+009, -2.37293643228E-002, -4.41606748821E-002
+4.60554055406E+009, -2.41814264392E-002, -4.39984804565E-002
+4.60556055606E+009, -2.44021050149E-002, -4.38686617486E-002
+4.60558055806E+009, -2.46649982755E-002, -4.37094853051E-002
+4.60560056006E+009, -2.50321952344E-002, -4.34287640972E-002
+4.60562056206E+009, -2.53421960482E-002, -4.31939781585E-002
+4.60564056406E+009, -2.57085017316E-002, -4.30706307141E-002
+4.60566056606E+009, -2.59384043392E-002, -4.28909922669E-002
+4.60568056806E+009, -2.62880155663E-002, -4.26783968133E-002
+4.60570057006E+009, -2.66335331557E-002, -4.24682093023E-002
+4.60572057206E+009, -2.69943748620E-002, -4.23668950269E-002
+4.60574057406E+009, -2.71149797226E-002, -4.21441752339E-002
+4.60576057606E+009, -2.74618544125E-002, -4.19643710129E-002
+4.60578057806E+009, -2.77948946705E-002, -4.17748610146E-002
+4.60580058006E+009, -2.80945552346E-002, -4.15108711093E-002
+4.60582058206E+009, -2.84064416537E-002, -4.13260154342E-002
+4.60584058406E+009, -2.86741188846E-002, -4.11764321410E-002
+4.60586058606E+009, -2.89949608727E-002, -4.09119454980E-002
+4.60588058806E+009, -2.92605696907E-002, -4.06655293044E-002
+4.60590059006E+009, -2.96080179756E-002, -4.05738240068E-002
+4.60592059206E+009, -2.98004217336E-002, -4.02890314168E-002
